00:00:03.175|00:00:55.975
00:00:55.992|00:01:02.008
00:01:02.042|00:02:01.308
00:02:01.317|00:02:18.075
00:02:18.275|00:02:28.967
00:02:29.167|00:02:29.958
00:02:30.167|00:02:36.458
00:02:37.308|00:02:43.442
00:02:43.492|00:02:50.592
00:02:50.867|00:03:00.817
00:03:00.992|00:03:16.167
00:03:16.817|00:03:29.858
00:03:30.125|00:03:39.458
00:03:39.517|00:03:49.350
00:03:49.733|00:05:22.017
00:05:22.167|00:05:23.233
00:05:23.592|00:05:24.800
00:05:25.100|00:05:30.258
00:05:30.300|00:05:32.317
00:05:32.350|00:05:34.483
00:05:34.525|00:06:32.575
00:06:35.950|00:06:37.917
00:06:38.192|00:06:41.367
00:06:41.442|00:06:41.900
00:06:41.992|00:06:47.517
00:06:47.525|00:07:54.808
00:07:54.908|00:08:03.183
00:08:03.217|00:08:03.250
00:08:03.358|00:08:10.883
00:08:11.350|00:08:13.658
00:08:14.075|00:08:25.908
00:08:26.342|00:08:27.450
00:08:28.392|00:08:41.858
00:08:41.900|00:08:57.567
00:08:57.792|00:09:22.925
00:09:22.992|00:09:41.875
00:09:42.717|00:09:51.267
00:09:51.600|00:10:02.433
